"","family","phylum"
"668","Ruminococcaceae","Bacillota"
"670","Yersiniaceae or Hafniaceae","Pseudomonadota"
"671","Ruminococcaceae","Bacillota"
"673","Ruminococcaceae","Bacillota"
"674","Pasteurellaceae","Pseudomonadota"
"680","Coriobacteriaceae","Actinomycetota"
"681","Akkermansiaceae","Verrucomicrobiota"
"688","Enterobacteriaceae or Erwiniaceae","Pseudomonadota"
"693","Unknown","Pseudomonadota"
"698","Eggerthellaceae","Actinomycetota"
"704","Leptotrichiaceae","Fusobacteriota"
"708","Bifidobacteriaceae","Actinomycetota"
"711","Unknown","Pseudomonadota"
"714","Campylobacteraceae","Campylobacterota"
"715","Methanomassiliicoccaceae","Thermoplasmatota"
"734","Lachnospiraceae","Bacillota"
"738","Ruminococcaceae","Bacillota"
"740","Bacteroidaceae","Bacteroidota"
"754","Unknown","Unknown"
"767","Rikenellaceae","Bacteroidota"
"774","Porphyromonadaceae","Bacteroidota"
"775","Rikenellaceae","Bacteroidota"
"782","Rikenellaceae","Bacteroidota"
"785","Rikenellaceae","Bacteroidota"
"788","Rikenellaceae","Bacteroidota"
"804","Prevotellaceae","Bacteroidota"
"806","Rikenellaceae","Bacteroidota"
"816","Prevotellaceae","Bacteroidota"
"823","Barnesiellaceae","Bacteroidota"
"832","Prevotellaceae","Bacteroidota"
"836","Barnesiellaceae","Bacteroidota"
"841","Barnesiellaceae","Bacteroidota"
"845","Bacteroidaceae","Bacteroidota"
"854","Tannerellaceae","Bacteroidota"
"859","Tannerellaceae","Bacteroidota"
"861","Bacteroidaceae","Bacteroidota"
"862","Bacteroidaceae","Bacteroidota"
"863","Tannerellaceae","Bacteroidota"
"865","Tannerellaceae","Bacteroidota"
"871","Bacteroidaceae","Bacteroidota"
"875","Bacteroidaceae","Bacteroidota"
"880","Tannerellaceae or Unknown","Bacteroidota"
"882","Tannerellaceae","Bacteroidota"
"883","Bacteroidaceae","Bacteroidota"
"886","Tannerellaceae","Bacteroidota"
"890","Bacteroidaceae","Bacteroidota"
"901","Tannerellaceae","Bacteroidota"
"906","Bacteroidaceae","Bacteroidota"
"907","Tannerellaceae","Bacteroidota"
"911","Ruminococcaceae","Bacillota"
"913","Anaerovoracaceae","Bacillota"
"919","Anaerovoracaceae","Bacillota"
"921","Anaerovoracaceae","Bacillota"
"937","Ruminococcaceae","Bacillota"
"943","Anaerovoracaceae","Bacillota"
"955","Ruminococcaceae","Bacillota"
"958","Ruminococcaceae","Bacillota"
"967","Erysipelotrichaceae","Bacillota"
"970","Peptostreptococcaceae","Bacillota"
"972","Peptostreptococcaceae","Bacillota"
"974","Veillonellaceae","Bacillota"
"979","Erysipelotrichaceae","Bacillota"
"981","Ruminococcaceae","Bacillota"
"983","Ruminococcaceae","Bacillota"
"984","Veillonellaceae","Bacillota"
"987","Erysipelotrichaceae","Bacillota"
"989","Erysipelatoclostridiaceae","Bacillota"
"991","Peptostreptococcaceae","Bacillota"
"1008","Erysipelotrichaceae","Bacillota"
"1011","Veillonellaceae","Bacillota"
"1015","Ruminococcaceae","Bacillota"
"1019","Ruminococcaceae","Bacillota"
"1022","Erysipelatoclostridiaceae","Bacillota"
"1023","Streptococcaceae","Bacillota"
"1025","Acidaminococcaceae","Bacillota"
"1030","Peptostreptococcaceae","Bacillota"
"1060","Streptococcaceae","Bacillota"
"1070","Eggerthellaceae","Actinomycetota"
"1077","Streptococcaceae","Bacillota"
"1078","Eggerthellaceae","Actinomycetota"
"1080","Eggerthellaceae","Actinomycetota"
"1086","Coriobacteriales Incertae Sedis","Actinomycetota"
"1088","Eggerthellaceae","Actinomycetota"
"1090","Eggerthellaceae","Actinomycetota"
"1091","Eggerthellaceae","Actinomycetota"
"1096","Marinifilaceae","Bacteroidota"
"1101","Marinifilaceae","Bacteroidota"
